-0.9935020000,	0.0098728798,	0.1140000000,	-0.0022253984,	1.0000000000,	-0.0193560577,	0.1140000000
-0.9933875000,	0.0098706447,	0.1150000000,	-0.0022447501,	1.0000000000,	-0.0193516758,	0.1150000000
-0.9932720000,	0.0098683903,	0.1160000000,	-0.0022640973,	1.0000000000,	-0.0193472559,	0.1160000000
-0.9931555000,	0.0098661165,	0.1170000000,	-0.0022834401,	1.0000000000,	-0.0193427981,	0.1170000000
-0.9930380000,	0.0098638234,	0.1180000000,	-0.0023027784,	1.0000000000,	-0.0193383024,	0.1180000000
-0.9929195000,	0.0098615110,	0.1190000000,	-0.0023221122,	1.0000000000,	-0.0193337688,	0.1190000000
-0.9928000000,	0.0098591792,	0.1200000000,	-0.0023414414,	1.0000000000,	-0.0193291973,	0.1200000000
-0.9926795000,	0.0098568281,	0.1210000000,	-0.0023607660,	1.0000000000,	-0.0193245879,	0.1210000000
-0.9925580000,	0.0098544577,	0.1220000000,	-0.0023800859,	1.0000000000,	-0.0193199406,	0.1220000000
-0.9924355000,	0.0098520679,	0.1230000000,	-0.0023994012,	1.0000000000,	-0.0193152554,	0.1230000000
-0.9923120000,	0.0098496589,	0.1240000000,	-0.0024187117,	1.0000000000,	-0.0193105324,	0.1240000000
-0.9921875000,	0.0098472305,	0.1250000000,	-0.0024380175,	1.0000000000,	-0.0193057715,	0.1250000000
-0.9920620000,	0.0098447828,	0.1260000000,	-0.0024573185,	1.0000000000,	-0.0193009728,	0.1260000000
-0.9919355000,	0.0098423158,	0.1270000000,	-0.0024766146,	1.0000000000,	-0.0192961362,	0.1270000000
-0.9918080000,	0.0098398296,	0.1280000000,	-0.0024959058,	1.0000000000,	-0.0192912618,	0.1280000000
-0.9916795000,	0.0098373240,	0.1290000000,	-0.0025151922,	1.0000000000,	-0.0192863496,	0.1290000000
-0.9915500000,	0.0098347992,	0.1300000000,	-0.0025344736,	1.0000000000,	-0.0192813996,	0.1300000000
-0.9914195000,	0.0098322551,	0.1310000000,	-0.0025537500,	1.0000000000,	-0.0192764118,	0.1310000000
-0.9912880000,	0.0098296917,	0.1320000000,	-0.0025730214,	1.0000000000,	-0.0192713862,	0.1320000000
-0.9911555000,	0.0098271090,	0.1330000000,	-0.0025922877,	1.0000000000,	-0.0192663228,	0.1330000000
